Time,DayOfYear,Hour,O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
2010-01-17 23:00:00,17,23,2.5789999999999997,546.48,19.24,61.0,5.85575240416842,9.64824963989544,4.0444421792976915,2.0328463594960744,1.1593113420724488,2.6074532777370347,2.172124442554018,30.19384199423373,0.8405595998392211,278.25,0.92,2.59023,9.05256,0.510047,1.43815,0.304737,0.6805889999999999
2010-01-18 00:00:00,18,0,2.059,574.44,23.35,64.72,5.871720136546352,13.391796512081337,4.531854645532848,2.3941813525164353,1.4048948610843917,2.6878290740860353,2.4995615539235683,37.8479261507806,0.9617766066723238,277.95,0.93,2.79094,9.05879,0.500828,1.42891,0.322466,0.639077
2010-01-18 01:00:00,18,1,1.8369999999999995,595.5,33.99,74.59,5.151862805619869,13.249694430463268,3.962810691169082,2.0064002665599956,1.081726056513274,2.431767400242903,2.3281746821203657,34.25882622416414,0.567783931043723,277.25,0.95,2.28263,7.21257,0.46757,1.2503,0.313883,0.657789
2010-01-18 02:00:00,18,2,1.269,537.3,28.2,66.9,5.093975937921021,13.19858585127792,4.466442514215819,1.7919277553138575,0.9869846300023872,2.2599445799039173,2.2834749740880036,30.83715655312761,0.6232307623598766,278.34999999999997,0.94,1.8114,6.81744,0.46945,1.22952,0.344278,0.6505329999999999
2010-01-18 03:00:00,18,3,1.328,464.66,23.93,59.74,3.9947452223237887,10.763341533921446,3.022385053914538,1.1817652525510038,0.6605354691668739,1.9201925128064956,1.9669888731308327,22.77033039237494,0.3157746415970703,278.54999999999995,0.96,1.43123,4.81374,0.458956,1.06694,0.434225,0.60803
2010-01-18 04:00:00,18,4,12.197,302.72,2.25,24.3,3.107302828189715,4.290904822499843,0.9833207860382828,0.6085962389095312,0.3578893825541366,1.4634704948858046,1.145622391641272,11.50290565095368,0.1623906926890268,278.54999999999995,0.96,0.509391,1.78388,0.581268,1.04596,0.803272,0.562627
2010-01-18 05:00:00,18,5,20.067,213.3,1.86,13.56,2.91012458008853,4.337822594532385,0.9199286478772744,0.567743509919675,0.3564670500754887,1.3945207693209605,1.0736012526012195,11.433582999483034,0.6772113795721493,277.84999999999997,0.97,0.424619,1.3186,0.712146,1.2537,0.976634,0.499467
2010-01-18 06:00:00,18,6,19.512,227.76,1.47,18.29,3.200436513758226,4.437727583439464,1.2415234406284814,0.7487649456257282,0.4838218165325071,1.550589181208286,1.1162938017441226,14.381311599997607,0.122563529989728,277.65,0.97,0.826971,1.88158,1.26575,1.57216,3.3358,0.497257
2010-01-18 07:00:00,18,7,4.803,278.3,4.8,37.11,3.8723156491429047,5.195396614548154,1.3012914734213346,0.998865287630628,0.6227497663748464,1.9217822246529588,1.252746551347379,17.723413240477896,0.1685846992095038,277.45,0.97,1.24437,2.1014,1.54219,1.28469,5.40329,0.5530510000000001
2010-01-18 08:00:00,18,8,1.22,340.44,10.44,50.78,4.117792690410295,6.326143822650731,2.2628082156872735,1.7238825821027208,1.044671471059135,2.171810837462805,1.45254165155951,40.358909695469954,0.464341029878076,277.65,0.97,1.86177,2.84627,1.44148,2.31946,2.5282,0.584138
2010-01-18 09:00:00,18,9,1.513,427.56,31.45,75.66,4.1237105921356285,4.584983876153511,2.505920333170728,2.052325357733361,1.3391339950817729,2.2260241472590967,1.569302076844094,37.230730226870534,0.4821749810191595,277.75,0.97,2.04145,3.03093,1.69142,2.63578,3.18789,0.553854
2010-01-18 10:00:00,18,10,2.538,416.42,22.37,64.66,4.280480236505288,5.446122490759022,3.5163327921250556,2.369395594815385,1.6224939930304092,2.562076392059913,2.404604782859749,55.56095086098482,0.5602134786298066,277.95,0.97,3.06316,4.38591,2.11694,3.63638,3.77685,0.606952
